商品ID,标题,风险等级,风险类型,销量,日增量,池,店铺ID,店铺名,发现时间,来源,品类,是否今日新发现
6a01c81ea0130600018b67e9,卷轴元素矢量素材,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:39:25,web_full,,1
6a01c9a4d500200001695ebf,卡通云朵矢量素材,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:39:25,web_full,,1
6a02d0d353abe9000137e441,爱丽丝梦幻背景PS笔刷,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:39:26,web_full,,1
6a02d1b8d5002000017f947d,棉花插画矢量素材,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:39:26,web_full,,1
6a02d30758e1b100018f4b46,亲子农庄精选SU模型,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:39:26,web_full,,1
6a02e1e4dd034c00016e5dc5,庭院花园CAD详图合集,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:39:26,web_full,,1
6a03168f304f46000167343a,天际线灯SU模型合集,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:39:26,web_full,,1
6a03e10364eb41000168b796,Q版海贼王PNG免扣素材,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:39:27,web_full,,1
6a0579c9d500200001befa1c,单身公寓PPT设计文本,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:39:27,web_full,,1
69fbe538f888bb00014deb0e,卡通京剧人物矢量素材,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:39:35,web_full,,1
692fe00e137a3b000183e308,高考中考成人礼送爸爸送妈妈送女友送闺蜜送老公生日创意巨型红包,medium,商品已下架/冻结,36000,0.0,WATCH,6913fbbc7a5cde0015070736,佑岚fafa的店,2026-06-18 15:22:57,web_full,,1
693044d735b4b00001c9b288,高考中考成人礼送爸爸送妈妈送女友送闺蜜送老公生日创意巨型红包,medium,商品已下架/冻结,36000,0.0,WATCH,6913fbbc7a5cde0015070736,佑岚fafa的店,2026-06-18 15:22:58,web_full,,1
69a909331166fe0001422aee,（新旧封面随机发货）思维导图儿童心理学与宝宝训练捉迷藏,medium,商品已下架/冻结,35000,0.0,WATCH,,X新起点育儿书院的店,2026-06-18 15:23:08,web_full,,1
651006887d86b000015a1986,（新旧封面随机发货）思维导图儿童心理学与宝宝训练捉迷藏,medium,商品已下架/冻结,35000,0.0,WATCH,64b5fcff18fb450001919132,X新起点育儿书院的店,2026-06-18 15:23:08,web_full,,1
6a00305e64eb41000112690e,高考中考成人礼送爸爸送妈妈送女友送闺蜜送老公生日创意巨型红包,medium,商品已下架/冻结,35000,0.0,WATCH,,,2026-06-18 15:23:09,web_full,,1
692fe00e137a3b000183e305,高考中考成人礼送爸爸送妈妈送女友送闺蜜送老公生日创意巨型红包,medium,商品已下架/冻结,35000,0.0,WATCH,,佑岚fafa的店,2026-06-18 15:23:09,web_full,,1
